symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
2SU,*N[C@H](C(*)=O)c1c(C(=O)OCC)nc2c(Br)cc(C)cn12 |$_R1;;;;_R2;;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
UEC,*N[C@H](C(*)=O)c1c(C(=O)O)nc2cc(Cl)ccn12 |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
Z7H,*N[C@@H](Cc1ccc2c(c1C)COC2=O)C(*)=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
IJO,*N[C@H](C(*)=O)[C@@H]1C[C@H]1C(=O)OC |$_R1;;;;_R2;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
TQX,*N[C@@H](CC(=O)C(C)(C)c1ccc(OC)c(OC)c1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
XHY,*N[C@H](C(*)=O)[C@@]1(C)COCc2ccccc21 |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
8YA,*N[C@@H](C[C@H]1[C@H](c2ccccc2)C1(F)F)C(*)=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
6FQ,*N[C@H](C(*)=O)[C@@]12CCC[C@]1(OC)OCC2 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
LVU,*N[C@H](C(*)=O)c1ccc(C)c(O)c1C(=O)O |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
568,*N[C@H](C(*)=O)c1cc(C(=O)O)cn1CCC |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
XD2,*N[C@H](C(*)=O)c1cc(C(=O)OCC)cn1C1CC1 |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
XFO,*N[C@H](C(*)=O)c1cc(C(=O)OCC)c(C(F)F)o1 |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
N3H,*N[C@H](C(*)=O)c1cc(C(=O)OC)c(CCC)o1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
DSM,*N[C@H](C(*)=O)c1cc(O)cc(C(=O)O)c1OC(C)C |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
GCE,*N[C@H](C(*)=O)c1cccc(C(=O)O)c1OC(C)(C)C |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
N6S,*N[C@H](C(*)=O)c1cc(S(=O)(=O)NC)c(F)c(F)c1F |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
LUZ,*N[C@@H](C[C@@]1(COCc2ccccc2)CCCOC1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
EIU,*N[C@@H](C[C@@]1(CCSC)CCO[C@@H]1C)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
YI5,*N[C@@H](C[C@@H](CC)Cc1nnn(C)n1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
3GL,*N[C@@H](CC(CC)(CC)C(C)C)C(*)=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
DOE,*N[C@@H](C[C@@H](CC)Cc1coc(Br)c1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
4DN,*N[C@@H](C[C@@H](CC)C[C@@H]1CCCOC1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
X18,*N[C@@H](C[C@@]1(CCCSC)CC1(C)C)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
MI0,*N[C@@H](CCCC1(CS(C)(=O)=O)CC1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
EA6,*N[C@@H](C[C@H](C)Cc1nnnn1CC)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
TFN,*N[C@@H](C[C@@H](C)CCn1ccsc1=O)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
Y8M,*N[C@@H](CCC[C@H]1CC(C)(C)CO1)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
TUX,*N[C@@H](C[C@@]1(COCCC)CCCO1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
J87,*N[C@@H](C[C@@]1([C@H]2CCCO2)CCOC1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
5UB,*N[C@@H](C[C@](C)(CC)[C@@H]1CCCCO1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
