symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
Me_Nva,CCC[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dNva,CCC[C@@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nva(Ph),[*]N[C@@H](CCCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Orn,[*]N[C@@H](CCCN[*])C([*])=O |$_R1;;;;;;;_R3;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
P,[*]N1CCC[C@H]1C([*])=O |$_R1;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dP,[*]N1CCC[C@@H]1C([*])=O |$_R1;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
3Pal,[*]N[C@@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
4Pal,[*]N[C@@H](Cc1ccncc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Phg,[*]N[C@H](C([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Pip,[*]N1CCCC[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dPip,[*]N1CCCC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Pye,[*]N[C@@H](CCC(=O)N1CCCC1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dPye,[*]N[C@H](CCC(=O)N1CCCC1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
